ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBBE1900040,1000000000.00,BE190004,BNMN-DB 4/2019 364D 01.10.2020,BNM,BNMN-DB,03/10/2019,01/10/2020,N/A,N/A
MYBBE1900057,1000000000.00,BE190005,BNMN-DB 5/2019 364D 10.11.2020,BNM,BNMN-DB,12/11/2019,10/11/2020,N/A,N/A
MYBBE2000014,1000000000.00,BE200001,BNMN-DB 1/2020 364D 11.03.2021,BNM,BNMN-DB,12/03/2020,11/03/2021,N/A,N/A
MYBBE2000022,1000000000.00,BE200002,BNMN-DB 2/2020 364D 15.06.2021,BNM,BNMN-DB,16/06/2020,15/06/2021,N/A,N/A
MYBBFC200060,0.00,BFC20006,BNIBF-DB 6/2020 91D 23.07.2020,BNM,BNIBF-DB,23/04/2020,23/07/2020,N/A,N/A
MYBBFC200078,0.00,BFC20007,BNIBF-DB 7/2020 94D 10.08.2020,BNM,BNIBF-DB,08/05/2020,10/08/2020,N/A,N/A
MYBBFC200086,500000000.00,BFC20008,BNIBF-DB 8/2020 92D 21.08.2020,BNM,BNIBF-DB,21/05/2020,21/08/2020,N/A,N/A
MYBBFC200094,200000000.00,BFC20009,BNIBF-DB 9/2020 92D 04.09.2020,BNM,BNIBF-DB,04/06/2020,04/09/2020,N/A,N/A
MYBBFC200102,330000000.00,BFC20010,BNIBF-DB 10/2020 92D 18.09.2020,BNM,BNIBF-DB,18/06/2020,18/09/2020,N/A,N/A
MYBBFC200110,200000000.00,BFC20011,BNIBF-DB 11/2020 92D 09.10.2020,BNM,BNIBF-DB,09/07/2020,09/10/2020,N/A,N/A
ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBBE1900040,1000000000.00,BE190004,BNMN-DB 4/2019 364D 01.10.2020,BNM,BNMN-DB,03/10/2019,01/10/2020,N/A,N/A
MYBBE1900057,1000000000.00,BE190005,BNMN-DB 5/2019 364D 10.11.2020,BNM,BNMN-DB,12/11/2019,10/11/2020,N/A,N/A
ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBBE1900040,1000000000.00,BE190004,BNMN-DB 4/2019 364D 01.10.2020,BNM,BNMN-DB,03/10/2019,01/10/2020,N/A,N/A
MYBBE1900057,1000000000.00,BE190005,BNMN-DB 5/2019 364D 10.11.2020,BNM,BNMN-DB,12/11/2019,10/11/2020,N/A,N/A
ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBBE1900040,1000000000.00,BE190004,BNMN-DB 4/2019 364D 01.10.2020,BNM,BNMN-DB,03/10/2019,01/10/2020,N/A,N/A
MYBBE1900057,1000000000.00,BE190005,BNMN-DB 5/2019 364D 10.11.2020,BNM,BNMN-DB,12/11/2019,10/11/2020,N/A,N/A
ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBBE1900040,1000000000.00,BE190004,BNMN-DB 4/2019 364D 01.10.2020,BNM,BNMN-DB,03/10/2019,01/10/2020,N/A,N/A
MYBBE1900057,1000000000.00,BE190005,BNMN-DB 5/2019 364D 10.11.2020,BNM,BNMN-DB,12/11/2019,10/11/2020,N/A,N/A
MYBBE2000014,1000000000.00,BE200001,BNMN-DB 1/2020 364D 11.03.2021,BNM,BNMN-DB,12/03/2020,11/03/2021,N/A,N/A
MYBBE2000022,1000000000.00,BE200002,BNMN-DB 2/2020 364D 15.06.2021,BNM,BNMN-DB,16/06/2020,15/06/2021,N/A,N/A
MYBBFC200060,0.00,BFC20006,BNIBF-DB 6/2020 91D 23.07.2020,BNM,BNIBF-DB,23/04/2020,23/07/2020,N/A,N/A
MYBBFC200078,0.00,BFC20007,BNIBF-DB 7/2020 94D 10.08.2020,BNM,BNIBF-DB,08/05/2020,10/08/2020,N/A,N/A
MYBBFC200086,500000000.00,BFC20008,BNIBF-DB 8/2020 92D 21.08.2020,BNM,BNIBF-DB,21/05/2020,21/08/2020,N/A,N/A
MYBBFC200094,200000000.00,BFC20009,BNIBF-DB 9/2020 92D 04.09.2020,BNM,BNIBF-DB,04/06/2020,04/09/2020,N/A,N/A
MYBBFC200102,330000000.00,BFC20010,BNIBF-DB 10/2020 92D 18.09.2020,BNM,BNIBF-DB,18/06/2020,18/09/2020,N/A,N/A
MYBBFC200110,200000000.00,BFC20011,BNIBF-DB 11/2020 92D 09.10.2020,BNM,BNIBF-DB,09/07/2020,09/10/2020,N/A,N/A
ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBBE1900040,1000000000.00,BE190004,BNMN-DB 4/2019 364D 01.10.2020,BNM,BNMN-DB,03/10/2019,01/10/2020,N/A,N/A
MYBBE1900057,1000000000.00,BE190005,BNMN-DB 5/2019 364D 10.11.2020,BNM,BNMN-DB,12/11/2019,10/11/2020,N/A,N/A
MYBBE2000014,1000000000.00,BE200001,BNMN-DB 1/2020 364D 11.03.2021,BNM,BNMN-DB,12/03/2020,11/03/2021,N/A,N/A
MYBBE2000022,1000000000.00,BE200002,BNMN-DB 2/2020 364D 15.06.2021,BNM,BNMN-DB,16/06/2020,15/06/2021,N/A,N/A
