MYBBE1900040,1000000000.00,BE190004,BNMN-DB 4/2019 364D 01.10.2020,BNM,BNMN-DB,03/10/2019,01/10/2020,N/A,N/A
MYBBE1900057,1000000000.00,BE190005,BNMN-DB 5/2019 364D 10.11.2020,BNM,BNMN-DB,12/11/2019,10/11/2020,N/A,N/A
MYBBE2000014,1000000000.00,BE200001,BNMN-DB 1/2020 364D 11.03.2021,BNM,BNMN-DB,12/03/2020,11/03/2021,N/A,N/A
MYBBE2000022,1000000000.00,BE200002,BNMN-DB 2/2020 364D 15.06.2021,BNM,BNMN-DB,16/06/2020,15/06/2021,N/A,N/A
MYBBFC200060,0.00,BFC20006,BNIBF-DB 6/2020 91D 23.07.2020,BNM,BNIBF-DB,23/04/2020,23/07/2020,N/A,N/A
MYBBFC200078,660000000.00,BFC20007,BNIBF-DB 7/2020 94D 10.08.2020,BNM,BNIBF-DB,08/05/2020,10/08/2020,N/A,N/A
MYBBFC200086,500000000.00,BFC20008,BNIBF-DB 8/2020 92D 21.08.2020,BNM,BNIBF-DB,21/05/2020,21/08/2020,N/A,N/A
MYBBFC200094,200000000.00,BFC20009,BNIBF-DB 9/2020 92D 04.09.2020,BNM,BNIBF-DB,04/06/2020,04/09/2020,N/A,N/A
MYBBFC200102,330000000.00,BFC20010,BNIBF-DB 10/2020 92D 18.09.2020,BNM,BNIBF-DB,18/06/2020,18/09/2020,N/A,N/A
MYBBFC200110,200000000.00,BFC20011,BNIBF-DB 11/2020 92D 09.10.2020,BNM,BNIBF-DB,09/07/2020,09/10/2020,N/A,N/A
MYBBFC200128,150000000.00,BFC20012,BNIBF-DB 12/2020 92D 23.10.2020,BNM,BNIBF-DB,23/07/2020,23/10/2020,N/A,N/A
MYBDD0500039,0.00,DD050003,TRACOMA 0.00000% 28.07.2005 SN,TRACOMA,IBONDS,28/01/2005,28/07/2005,N/A,N/A
MYBDD0500112,0.00,DD050011,TRACOMA 0.00000% 28.07.2005 SN,TRACOMA,IBONDS,28/01/2005,28/07/2005,N/A,N/A
MYBDD0516548,0.00,DD051654,MTSB 0% 28.04.2006 SN,MTSB,IBONDS,28/10/2005,28/04/2006,N/A,N/A
MYBDD0516688,0.00,DD051668,MTSB 0% 28.04.2006 SN,MTSB,IBONDS,28/10/2005,28/04/2006,N/A,N/A
MYBDD0516803,0.00,DD051680,MTSB 0% 28.04.2006 SN,MTSB,IBONDS,28/10/2005,28/04/2006,N/A,N/A
MYBDD0516902,0.00,DD051690,MTSB 0% 28.04.2006 SN,MTSB,IBONDS,28/10/2005,28/04/2006,N/A,N/A
MYBDD0516985,0.00,DD051698,MTSB 0% 28.04.2006 SN,MTSB,IBONDS,28/10/2005,28/04/2006,N/A,N/A
MYBDD0519377,0.00,DD051937,SDEB 0% 09.06.2006 SN,SDEB,IBONDS,09/12/2005,09/06/2006,N/A,N/A
MYBDD0522108,0.00,DD052210,SDEB 0% 09.06.2006 SN,SDEB,IBONDS,09/12/2005,09/06/2006,N/A,N/A
MYBDD0522454,0.00,DD052245,SDEB 0% 09.06.2006 SN,SDEB,IBONDS,09/12/2005,09/06/2006,N/A,N/A
MYBDD0522793,0.00,DD052279,SDEB 0% 09.06.2006 SN,SDEB,IBONDS,09/12/2005,09/06/2006,N/A,N/A
MYBDD0523122,0.00,DD052312,SDEB 0% 09.06.2006 SN,SDEB,IBONDS,09/12/2005,09/06/2006,N/A,N/A
MYBDD0523445,0.00,DD052344,SDEB 0% 09.06.2006 SN,SDEB,IBONDS,09/12/2005,09/06/2006,N/A,N/A
MYBDD0523759,0.00,DD052375,SDEB 0% 09.06.2006 SN,SDEB,IBONDS,09/12/2005,09/06/2006,N/A,N/A
MYBDD0524120,0.00,DD052412,SDEB 0% 09.06.2006 SN,SDEB,IBONDS,09/12/2005,09/06/2006,N/A,N/A
MYBDD0528683,0.00,DD052868,SPRINT 0% 29.06.2006 SN,SPRINT,IBONDS,29/12/2005,29/06/2006,N/A,N/A
MYBDD0800546,0.00,DD080054,PIYS 0% 31.07.2008 SN,PIYS,IBONDS,31/01/2008,31/07/2008,N/A,N/A
MYBDD0800827,0.00,DD080082,PIYS 0% 31.07.2008 SN,PIYS,IBONDS,31/01/2008,31/07/2008,N/A,N/A
MYBDD0804399,0.00,DD080439,PRASARANA 0% 28.11.2008 SN,PRASARANA,IBONDS,30/05/2008,28/11/2008,N/A,N/A
MYBDD0810917,0.00,DD081091,PLSA 0% 30.04.2009 SN,PLSA,IBONDS,31/10/2008,30/04/2009,N/A,N/A
MYBDD0811295,0.00,DD081129,PLSA 0% 30.04.2009 SN,PLSA,IBONDS,31/10/2008,30/04/2009,N/A,N/A
MYBDD0811667,0.00,DD081166,PLSA 0% 30.04.2009 SN,PLSA,IBONDS,31/10/2008,30/04/2009,N/A,N/A
MYBDD0812020,0.00,DD081202,PLSA 0% 30.04.2009 SN,PLSA,IBONDS,31/10/2008,30/04/2009,N/A,N/A
MYBDD0812376,0.00,DD081237,PLSA 0% 30.04.2009 SN,PLSA,IBONDS,31/10/2008,30/04/2009,N/A,N/A
MYBDD0812715,0.00,DD081271,PLSA 0% 30.04.2009 SN,PLSA,IBONDS,31/10/2008,30/04/2009,N/A,N/A
MYBDD0813044,0.00,DD081304,PLSA 0% 30.04.2009 SN,PLSA,IBONDS,31/10/2008,30/04/2009,N/A,N/A
MYBDD0900056,0.00,DD090005,OWC 0% 20.08.2009 SN,OWC,IBONDS,20/02/2009,20/08/2009,N/A,N/A
MYBDD0900130,0.00,DD090013,OWC 0% 20.08.2009 SN,OWC,IBONDS,20/02/2009,20/08/2009,N/A,N/A
MYBDD0900239,0.00,DD090023,OWC 0% 20.08.2009 SN,OWC,IBONDS,20/02/2009,20/08/2009,N/A,N/A
MYBDD0900353,0.00,DD090035,OWC 0% 20.08.2009 SN,OWC,IBONDS,20/02/2009,20/08/2009,N/A,N/A
MYBDD0900593,0.00,DD090059,PLSA 0% 30.10.2009 SN,PLSA,IBONDS,30/04/2009,30/10/2009,N/A,N/A
MYBDD0900890,0.00,DD090089,PLSA 0% 30.10.2009 SN,PLSA,IBONDS,30/04/2009,30/10/2009,N/A,N/A
MYBDD0901187,0.00,DD090118,PLSA 0% 30.10.2009 SN,PLSA,IBONDS,30/04/2009,30/10/2009,N/A,N/A
MYBDD0902037,0.00,DD090203,PLSA 0% 30.04.2010 SN,PLSA,IBONDS,30/10/2009,30/04/2010,N/A,N/A
MYBDD0902292,0.00,DD090229,PLSA 0% 30.04.2010 SN,PLSA,IBONDS,30/10/2009,30/04/2010,N/A,N/A
MYBDD1500038,0.00,DD150003,ISLAM 0% 22.10.2015 SN,ISLAM,IBONDS,22/04/2015,22/10/2015,N/A,N/A
MYBDE04727Z0,0.00,DE04727Z,PSSB SHIP 0.00000% 15.12.2005 SN,PSSB SHIP,IBONDS,15/12/2004,15/12/2005,N/A,N/A
MYBDE04741H9,0.00,DE04741H,PSSB SHIP 0.00000% 15.12.2005 SN,PSSB SHIP,IBONDS,15/12/2004,15/12/2005,N/A,N/A
MYBDE0500045,0.00,DE050004,TRACOMA 0.00000% 27.01.2006 SN,TRACOMA,IBONDS,28/01/2005,27/01/2006,N/A,N/A
MYBDE0500128,0.00,DE050012,TRACOMA 0.00000% 27.01.2006 SN,TRACOMA,IBONDS,28/01/2005,27/01/2006,N/A,N/A
MYBDE0516553,0.00,DE051655,MTSB 0% 27.10.2006 SN,MTSB,IBONDS,28/10/2005,27/10/2006,N/A,N/A
MYBDE0516694,0.00,DE051669,MTSB 0% 27.10.2006 SN,MTSB,IBONDS,28/10/2005,27/10/2006,N/A,N/A
MYBDE0516819,0.00,DE051681,MTSB 0% 27.10.2006 SN,MTSB,IBONDS,28/10/2005,27/10/2006,N/A,N/A
MYBDE0516918,0.00,DE051691,MTSB 0% 27.10.2006 SN,MTSB,IBONDS,28/10/2005,27/10/2006,N/A,N/A
MYBDE0516991,0.00,DE051699,MTSB 0% 27.10.2006 SN,MTSB,IBONDS,28/10/2005,27/10/2006,N/A,N/A
MYBDE0528699,0.00,DE052869,SPRINT 0% 29.12.2006 SN,SPRINT,IBONDS,29/12/2005,29/12/2006,N/A,N/A
MYBDE0605760,0.00,DE060576,ZECON TOLL 0% 15.01.2007 SN,ZECON TOLL,IBONDS,14/07/2006,15/01/2007,N/A,N/A
MYBDE0605778,0.00,DE060577,ZECON TOLL 0% 16.07.2007 SN,ZECON TOLL,IBONDS,14/07/2006,16/07/2007,N/A,N/A
MYBDE0800023,0.00,DE080002,MANFAAT 0% 26.01.2009 SN,MANFAAT,IBONDS,25/01/2008,26/01/2009,N/A,N/A
MYBDE0800551,0.00,DE080055,PIYS 0% 30.01.2009 SN,PIYS,IBONDS,31/01/2008,30/01/2009,N/A,N/A
MYBDE0800833,0.00,DE080083,PIYS 0% 30.01.2009 SN,PIYS,IBONDS,31/01/2008,30/01/2009,N/A,N/A
MYBDE0804405,0.00,DE080440,PRASARANA 0% 29.05.2009 SN,PRASARANA,IBONDS,30/05/2008,29/05/2009,N/A,N/A
MYBDE0810923,0.00,DE081092,PLSA 0% 30.10.2009 SN,PLSA,IBONDS,31/10/2008,30/10/2009,N/A,N/A
MYBDE0811301,0.00,DE081130,PLSA 0% 30.10.2009 SN,PLSA,IBONDS,31/10/2008,30/10/2009,N/A,N/A
MYBDE0811673,0.00,DE081167,PLSA 0% 30.10.2009 SN,PLSA,IBONDS,31/10/2008,30/10/2009,N/A,N/A
MYBDE0812036,0.00,DE081203,PLSA 0% 30.10.2009 SN,PLSA,IBONDS,31/10/2008,30/10/2009,N/A,N/A
MYBDE0812382,0.00,DE081238,PLSA 0% 30.10.2009 SN,PLSA,IBONDS,31/10/2008,30/10/2009,N/A,N/A
MYBDE0812721,0.00,DE081272,PLSA 0% 30.10.2009 SN,PLSA,IBONDS,31/10/2008,30/10/2009,N/A,N/A
MYBDE0813059,0.00,DE081305,PLSA 0% 30.10.2009 SN,PLSA,IBONDS,31/10/2008,30/10/2009,N/A,N/A
MYBDE0900062,0.00,DE090006,OWC 0% 22.02.2010 SN,OWC,IBONDS,20/02/2009,22/02/2010,N/A,N/A
MYBDE0900146,0.00,DE090014,OWC 0% 22.02.2010 SN,OWC,IBONDS,20/02/2009,22/02/2010,N/A,N/A
MYBDE0900245,0.00,DE090024,OWC 0% 22.02.2010 SN,OWC,IBONDS,20/02/2009,22/02/2010,N/A,N/A
MYBDE0900369,0.00,DE090036,OWC 0% 22.02.2010 SN,OWC,IBONDS,20/02/2009,22/02/2010,N/A,N/A
MYBDE0900609,0.00,DE090060,PLSA 0% 30.04.2010 SN,PLSA,IBONDS,30/04/2009,30/04/2010,N/A,N/A
MYBDE0900906,0.00,DE090090,PLSA 0% 30.04.2010 SN,PLSA,IBONDS,30/04/2009,30/04/2010,N/A,N/A
MYBDE0901193,0.00,DE090119,PLSA 0% 30.04.2010 SN,PLSA,IBONDS,30/04/2009,30/04/2010,N/A,N/A
MYBDE0902043,0.00,DE090204,PLSA 0% 29.10.2010 SN,PLSA,IBONDS,30/10/2009,29/10/2010,N/A,N/A
MYBDE0902308,0.00,DE090230,PLSA 0% 29.10.2010 SN,PLSA,IBONDS,30/10/2009,29/10/2010,N/A,N/A
MYBDE1500044,0.00,DE150004,ISLAM 0% 22.04.2016 SN,ISLAM,IBONDS,22/04/2015,22/04/2016,N/A,N/A
MYBDE1600018,20000000.00,DE160001,THHE FAB 7.280% 04.08.2017,THHE FAB,IBONDS,05/08/2016,04/08/2017,N/A,N/A
MYBDF03044E5,16970000.00,DF03044E,LPSB 0.00000% 18.11.2005 (RSLS-C),LPSB,LOANSTOCK,20/11/2003,19/05/2009,N/A,N/A
MYBDF03045F9,73664000.00,DF03045F,LPSB 0.00000% 18.11.2005 (RSLS-D),LPSB,LOANSTOCK,20/11/2003,19/05/2009,N/A,N/A
MYBDF03046Z5,120870000.00,DF03046Z,LPSB 0.00000% 18.11.2005 (RSLS-A),LPSB,LOANSTOCK,20/11/2003,19/05/2009,N/A,N/A
MYBDF0404609,0.00,DF040460,PESAKA 0.00000% 30.09.2005 SN,PESAKA,IBONDS,01/04/2004,30/09/2005,N/A,N/A
MYBDF0404617,0.00,DF040461,PESAKA 0.00000% 31.03.2006 SN,PESAKA,IBONDS,01/04/2004,31/03/2006,N/A,N/A
MYBDF04728E2,0.00,DF04728E,PSSB SHIP 0.00000% 15.06.2006 SN,PSSB SHIP,IBONDS,15/12/2004,15/06/2006,N/A,N/A
MYBDF04729F7,0.00,DF04729F,PSSB SHIP 0.00000% 15.12.2006 SN,PSSB SHIP,IBONDS,15/12/2004,15/12/2006,N/A,N/A
MYBDF04742Z8,0.00,DF04742Z,PSSB SHIP 0.00000% 15.06.2006 SN,PSSB SHIP,IBONDS,15/12/2004,15/06/2006,N/A,N/A
MYBDF04743S1,0.00,DF04743S,PSSB SHIP 0.00000% 15.12.2006 SN,PSSB SHIP,IBONDS,15/12/2004,15/12/2006,N/A,N/A
MYBDF0500059,0.00,DF050005,TRACOMA 0.00000% 28.07.2006 SN,TRACOMA,IBONDS,28/01/2005,28/07/2006,N/A,N/A
MYBDF0500067,0.00,DF050006,TRACOMA 0.00000% 26.01.2007 SN,TRACOMA,IBONDS,28/01/2005,26/01/2007,N/A,N/A
MYBDF0500133,0.00,DF050013,TRACOMA 0.00000% 28.07.2006 SN,TRACOMA,IBONDS,28/01/2005,28/07/2006,N/A,N/A
MYBDF0500141,0.00,DF050014,TRACOMA 0.00000% 26.01.2007 SN,TRACOMA,IBONDS,28/01/2005,26/01/2007,N/A,N/A
MYBDF0516568,0.00,DF051656,MTSB 0% 27.04.2007 SN,MTSB,IBONDS,28/10/2005,27/04/2007,N/A,N/A
MYBDF0516576,0.00,DF051657,MTSB 0% 26.10.2007 SN,MTSB,IBONDS,28/10/2005,26/10/2007,N/A,N/A
MYBDF0516709,0.00,DF051670,MTSB 0% 27.04.2007 SN,MTSB,IBONDS,28/10/2005,27/04/2007,N/A,N/A
MYBDF0516717,0.00,DF051671,MTSB 0% 26.10.2007 SN,MTSB,IBONDS,28/10/2005,26/10/2007,N/A,N/A
MYBDF0516824,0.00,DF051682,MTSB 0% 27.04.2007 SN,MTSB,IBONDS,28/10/2005,27/04/2007,N/A,N/A
MYBDF0516832,0.00,DF051683,MTSB 0% 26.10.2007 SN,MTSB,IBONDS,28/10/2005,26/10/2007,N/A,N/A
MYBDF0516923,0.00,DF051692,MTSB 0% 27.04.2007 SN,MTSB,IBONDS,28/10/2005,27/04/2007,N/A,N/A
MYBDF0516931,0.00,DF051693,MTSB 0% 26.10.2007 SN,MTSB,IBONDS,28/10/2005,26/10/2007,N/A,N/A
